,mc,mn,quarterbeats,duration_qb,keysig,timesig,act_dur,mc_offset,numbering_offset,dont_count,barline,breaks,repeats,next
0,1,1,0,6.0,0,12/8,3/2,0,,,,,firstMeasure,"(2,)"
1,2,2,6,6.0,0,12/8,3/2,0,,,,,,"(3,)"
2,3,3,12,6.0,0,12/8,3/2,0,,,,,,"(4,)"
3,4,4,18,6.0,0,12/8,3/2,0,,,,,,"(5,)"
4,5,5,24,6.0,0,12/8,3/2,0,,,,,,"(6,)"
5,6,6,30,6.0,0,12/8,3/2,0,,,,,,"(7,)"
6,7,7,36,6.0,0,12/8,3/2,0,,,,,,"(8,)"
7,8,8,42,4.0,0,4/4,1,0,,,,,,"(9,)"
8,9,9,46,4.0,0,4/4,1,0,,,,,,"(10,)"
9,10,10,50,4.0,0,4/4,1,0,,,,,,"(11,)"
10,11,11,54,4.0,0,4/4,1,0,,,,,,"(12,)"
11,12,12,58,4.0,0,4/4,1,0,,,,,,"(13,)"
12,13,13,62,4.0,0,4/4,1,0,,,,,,"(14,)"
13,14,14,66,4.0,0,4/4,1,0,,,,,,"(15,)"
14,15,15,70,4.0,0,4/4,1,0,,,,,,"(16,)"
15,16,16,74,4.0,0,4/4,1,0,,,,,,"(17,)"
16,17,17,78,4.0,0,4/4,1,0,,,,,,"(18,)"
17,18,18,82,4.0,0,4/4,1,0,,,,,,"(19,)"
18,19,19,86,4.0,0,4/4,1,0,,,,,,"(20,)"
19,20,20,90,4.0,0,4/4,1,0,,,,,,"(21,)"
20,21,21,94,4.0,0,4/4,1,0,,,,,,"(22,)"
21,22,22,98,4.0,0,4/4,1,0,,,,,,"(23,)"
22,23,23,102,4.0,0,4/4,1,0,,,,,,"(24,)"
23,24,24,106,4.0,0,4/4,1,0,,,,,,"(25,)"
24,25,25,110,4.0,0,4/4,1,0,,,,,,"(26,)"
25,26,26,114,4.0,0,4/4,1,0,,,,,,"(27,)"
26,27,27,118,4.0,0,4/4,1,0,,,,,,"(28,)"
27,28,28,122,4.0,0,4/4,1,0,,,,,,"(29,)"
28,29,29,126,4.0,0,4/4,1,0,,,,,,"(30,)"
29,30,30,130,4.0,0,4/4,1,0,,,,,,"(31,)"
30,31,31,134,4.0,0,4/4,1,0,,,,,,"(32,)"
31,32,32,138,4.0,0,4/4,1,0,,,,line,,"(33,)"
32,33,33,142,4.0,0,4/4,1,0,,,,,,"(34,)"
33,34,34,146,4.0,0,4/4,1,0,,,,,,"(35,)"
34,35,35,150,4.0,0,4/4,1,0,,,,,,"(36,)"
35,36,36,154,4.0,0,4/4,1,0,,,,,,"(37,)"
36,37,37,158,4.0,0,4/4,1,0,,,,,,"(38,)"
37,38,38,162,4.0,0,4/4,1,0,,,,,,"(39,)"
38,39,39,166,4.0,0,4/4,1,0,,,,,,"(40,)"
39,40,40,170,4.0,0,4/4,1,0,,,,,,"(41,)"
40,41,41,174,4.0,0,4/4,1,0,,,,,,"(42,)"
41,42,42,178,4.0,0,4/4,1,0,,,,,,"(43,)"
42,43,43,182,4.0,0,4/4,1,0,,,,,,"(44,)"
43,44,44,186,4.0,0,4/4,1,0,,,,,,"(45,)"
44,45,45,190,4.0,0,4/4,1,0,,,,,,"(46,)"
45,46,46,194,4.0,0,4/4,1,0,,,,,,"(47,)"
46,47,47,198,4.0,0,4/4,1,0,,,,,,"(48,)"
47,48,48,202,4.0,0,4/4,1,0,,,,,lastMeasure,"(-1,)"
