mc,mn,quarterbeats,quarterbeats_all_endings,duration_qb,mc_onset,mn_onset,timesig,staff,voice,duration,nominal_duration,scalar,tied,tpc,midi,name,octave,chord_id,color,time,dur,player,capped,conflicting
1,1,0,0,6.0,0,0,12/8,2,1,3/2,1,3/2,,0,48,C3,3,12,,0.0,2,0,True,False
1,1,0,0,0.5,0,0,12/8,1,1,1/8,1/8,1,,3,69,A4,4,0,,0.0,0,1,False,False
1,1,1/2,1/2,0.5,1/8,1/8,12/8,1,1,1/8,1/8,1,,3,69,A4,4,1,,0.16666666666666669,0,1,False,False
1,1,1,1,0.5,1/4,1/4,12/8,1,1,1/8,1/8,1,,5,71,B4,4,2,,0.33333333333333337,0,2,False,False
1,1,3/2,3/2,0.5,3/8,3/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,3,,0.5,0,2,False,False
1,1,2,2,0.5,1/2,1/2,12/8,1,1,1/8,1/8,1,,5,71,B4,4,4,,0.6666666666666667,0,2,False,False
1,1,5/2,5/2,0.5,5/8,5/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,5,,0.8333333333333335,0,2,False,False
1,1,3,3,0.5,3/4,3/4,12/8,1,1,1/8,1/8,1,,0,72,C5,5,6,,1.0000000000000002,0,3,False,False
1,1,7/2,7/2,0.5,7/8,7/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,7,,1.166666666666667,0,2,False,False
1,1,4,4,0.5,1,1,12/8,1,1,1/8,1/8,1,,5,71,B4,4,8,,1.3333333333333337,0,2,False,False
1,1,9/2,9/2,0.5,9/8,9/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,9,,1.5000000000000004,0,2,False,False
1,1,5,5,0.5,5/4,5/4,12/8,1,1,1/8,1/8,1,,1,67,G4,4,10,,1.6666666666666672,0,4,False,False
1,1,11/2,11/2,0.5,11/8,11/8,12/8,1,1,1/8,1/8,1,,1,67,G4,4,11,,1.833333333333334,0,4,False,False
2,2,6,6,6.0,0,0,12/8,2,1,3/2,1,3/2,,1,43,G2,2,25,,2.0000000000000004,2,5,True,False
2,2,6,6,0.5,0,0,12/8,1,1,1/8,1/8,1,,3,69,A4,4,13,,2.0000000000000004,0,1,False,False
2,2,13/2,13/2,0.5,1/8,1/8,12/8,1,1,1/8,1/8,1,,3,69,A4,4,14,,2.166666666666667,0,1,False,False
2,2,7,7,0.5,1/4,1/4,12/8,1,1,1/8,1/8,1,,5,71,B4,4,15,,2.3333333333333335,0,2,False,False
2,2,15/2,15/2,0.5,3/8,3/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,16,,2.5,0,2,False,False
2,2,8,8,0.5,1/2,1/2,12/8,1,1,1/8,1/8,1,,5,71,B4,4,17,,2.6666666666666665,0,2,False,False
2,2,17/2,17/2,0.5,5/8,5/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,18,,2.833333333333333,0,2,False,False
2,2,9,9,0.5,3/4,3/4,12/8,1,1,1/8,1/8,1,,0,72,C5,5,19,,2.9999999999999996,0,3,False,False
2,2,19/2,19/2,0.5,7/8,7/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,20,,3.166666666666666,0,2,False,False
2,2,10,10,0.5,1,1,12/8,1,1,1/8,1/8,1,,5,71,B4,4,21,,3.3333333333333326,0,2,False,False
2,2,21/2,21/2,0.5,9/8,9/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,22,,3.499999999999999,0,2,False,False
2,2,11,11,0.5,5/4,5/4,12/8,1,1,1/8,1/8,1,,1,67,G4,4,23,,3.6666666666666656,0,4,False,False
2,2,23/2,23/2,0.5,11/8,11/8,12/8,1,1,1/8,1/8,1,,1,67,G4,4,24,,3.833333333333332,0,4,False,False
3,3,12,12,6.0,0,0,12/8,2,1,3/2,1,3/2,,3,45,A2,2,38,,3.9999999999999987,2,4,True,False
3,3,12,12,0.5,0,0,12/8,1,1,1/8,1/8,1,,3,69,A4,4,26,,3.9999999999999987,0,1,False,False
3,3,25/2,25/2,0.5,1/8,1/8,12/8,1,1,1/8,1/8,1,,3,69,A4,4,27,,4.166666666666665,0,1,False,False
3,3,13,13,0.5,1/4,1/4,12/8,1,1,1/8,1/8,1,,5,71,B4,4,28,,4.333333333333332,0,2,False,False
3,3,27/2,27/2,0.5,3/8,3/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,29,,4.499999999999999,0,2,False,False
3,3,14,14,0.5,1/2,1/2,12/8,1,1,1/8,1/8,1,,5,71,B4,4,30,,4.666666666666666,0,2,False,False
3,3,29/2,29/2,0.5,5/8,5/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,31,,4.833333333333333,0,2,False,False
3,3,15,15,0.5,3/4,3/4,12/8,1,1,1/8,1/8,1,,0,72,C5,5,32,,5.0,0,3,False,False
3,3,31/2,31/2,0.5,7/8,7/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,33,,5.166666666666667,0,2,False,False
3,3,16,16,0.5,1,1,12/8,1,1,1/8,1/8,1,,5,71,B4,4,34,,5.333333333333334,0,2,False,False
3,3,33/2,33/2,0.5,9/8,9/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,35,,5.500000000000001,0,2,False,False
3,3,17,17,0.5,5/4,5/4,12/8,1,1,1/8,1/8,1,,1,67,G4,4,36,,5.666666666666668,0,5,False,False
