,mc,mn,quarterbeats,quarterbeats_all_endings,duration_qb,mc_onset,mn_onset,timesig,staff,voice,duration,nominal_duration,scalar
0,8,8,42,42,4.0,0,0,4/4,1,1,1,1,1
1,8,8,42,42,4.0,0,0,4/4,2,1,1,1,1
2,9,9,46,46,1.0,0,0,4/4,1,1,1/4,1/4,1
3,10,10,51,51,0.6666666666666666,1/4,1/4,4/4,1,1,1/6,1/4,2/3
4,10,10,52,52,1.0,1/2,1/2,4/4,1,1,1/4,1/4,1
5,10,10,53,53,0.3333333333333333,3/4,3/4,4/4,1,1,1/12,1/8,2/3
6,11,11,55,55,0.6666666666666666,1/4,1/4,4/4,1,1,1/6,1/4,2/3
7,11,11,56,56,1.0,1/2,1/2,4/4,1,1,1/4,1/4,1
8,11,11,57,57,0.3333333333333333,3/4,3/4,4/4,1,1,1/12,1/8,2/3
9,12,12,59,59,1.0,1/4,1/4,4/4,1,1,1/4,1/4,1
10,13,13,62,62,1.0,0,0,4/4,1,1,1/4,1/4,1
11,14,14,67,67,0.6666666666666666,1/4,1/4,4/4,1,1,1/6,1/4,2/3
12,14,14,68,68,1.0,1/2,1/2,4/4,1,1,1/4,1/4,1
13,14,14,69,69,0.3333333333333333,3/4,3/4,4/4,1,1,1/12,1/8,2/3
14,15,15,71,71,0.6666666666666666,1/4,1/4,4/4,1,1,1/6,1/4,2/3
15,15,15,72,72,1.0,1/2,1/2,4/4,1,1,1/4,1/4,1
16,15,15,73,73,0.3333333333333333,3/4,3/4,4/4,1,1,1/12,1/8,2/3
17,16,16,76,76,0.3333333333333333,1/2,1/2,4/4,1,1,1/12,1/8,2/3
18,17,17,78,78,0.6666666666666666,0,0,4/4,1,1,1/6,1/4,2/3
19,17,17,79,79,0.6666666666666666,1/4,1/4,4/4,1,1,1/6,1/4,2/3
20,17,17,80,80,0.6666666666666666,1/2,1/2,4/4,1,1,1/6,1/4,2/3
21,18,18,82,82,0.6666666666666666,0,0,4/4,1,1,1/6,1/4,2/3
22,18,18,83,83,0.6666666666666666,1/4,1/4,4/4,1,1,1/6,1/4,2/3
23,18,18,84,84,1.0,1/2,1/2,4/4,1,1,1/4,1/4,1
24,20,20,91,91,1.0,1/4,1/4,4/4,1,1,1/4,1/4,1
25,20,20,92,92,0.6666666666666666,1/2,1/2,4/4,1,1,1/6,1/4,2/3
26,21,21,94,94,0.6666666666666666,0,0,4/4,1,1,1/6,1/4,2/3
27,21,21,95,95,0.6666666666666666,1/4,1/4,4/4,1,1,1/6,1/4,2/3
28,21,21,96,96,0.6666666666666666,1/2,1/2,4/4,1,1,1/6,1/4,2/3
29,22,22,98,98,0.6666666666666666,0,0,4/4,1,1,1/6,1/4,2/3
30,22,22,99,99,0.6666666666666666,1/4,1/4,4/4,1,1,1/6,1/4,2/3
31,22,22,100,100,1.0,1/2,1/2,4/4,1,1,1/4,1/4,1
32,24,24,107,107,0.3333333333333333,1/4,1/4,4/4,1,1,1/12,1/8,2/3
33,24,24,326/3,326/3,0.3333333333333333,2/3,2/3,4/4,1,1,1/12,1/8,2/3
34,25,25,111,111,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1
35,25,25,112,112,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1
36,26,26,115,115,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1
37,26,26,117,117,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1
38,27,27,119,119,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1
39,27,27,120,120,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1
40,28,28,123,123,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1
41,28,28,124,124,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1
42,32,32,140,140,2.0,1/2,1/2,4/4,2,1,1/2,1/2,1
43,35,35,151,151,1.0,1/4,1/4,4/4,1,1,1/4,1/4,1
44,36,36,155,155,1.0,1/4,1/4,4/4,1,1,1/4,1/4,1
45,39,39,167,167,1.0,1/4,1/4,4/4,1,1,1/4,1/4,1
46,40,40,171,171,1.0,1/4,1/4,4/4,1,1,1/4,1/4,1
47,44,44,187,187,1.0,1/4,1/4,4/4,1,1,1/4,1/4,1
48,44,44,188,188,1.0,1/2,1/2,4/4,1,1,1/4,1/4,1
49,48,48,203,203,1.0,1/4,1/4,4/4,1,1,1/4,1/4,1
50,48,48,204,204,2.0,1/2,1/2,4/4,1,1,1/2,1/2,1
